Date,Adj Close,R,Training,R.normed,X1,X2,X3,X4,X5,Y
27/10/2014,16817.93945,0.000745551,1,0.487977096,0.492463572,0.617004541,0.383865901,0.617404073,0.559929813,0.487977096
28/10/2014,17005.75,0.011167275,1,0.59665596,0.617004541,0.383865901,0.617404073,0.559929813,0.487977096,0.59665596
29/10/2014,16974.31055,-0.001848754,1,0.460923402,0.383865901,0.617404073,0.559929813,0.487977096,0.59665596,0.460923402
30/10/2014,17195.41992,0.013026118,1,0.616040178,0.617404073,0.559929813,0.487977096,0.59665596,0.460923402,0.616040178
31/10/2014,17390.51953,0.011346022,1,0.598519955,0.559929813,0.487977096,0.59665596,0.460923402,0.616040178,0.598519955
03/11/2014,17366.24023,-0.001396123,1,0.465643491,0.487977096,0.59665596,0.460923402,0.616040178,0.598519955,0.465643491
04/11/2014,17383.83984,0.001013438,1,0.490770653,0.59665596,0.460923402,0.616040178,0.598519955,0.465643491,0.490770653
05/11/2014,17484.5293,0.00579213,1,0.540603369,0.460923402,0.616040178,0.598519955,0.465643491,0.490770653,0.540603369
06/11/2014,17554.4707,0.004000188,1,0.521916801,0.616040178,0.598519955,0.465643491,0.490770653,0.540603369,0.521916801
07/11/2014,17573.92969,0.001108492,1,0.491761884,0.598519955,0.465643491,0.490770653,0.540603369,0.521916801,0.491761884
10/11/2014,17613.74023,0.002265318,1,0.503825392,0.465643491,0.490770653,0.540603369,0.521916801,0.491761884,0.503825392
11/11/2014,17614.90039,6.58668E-05,1,0.480889276,0.490770653,0.540603369,0.521916801,0.491761884,0.503825392,0.480889276
12/11/2014,17612.19922,-0.000153346,1,0.478603304,0.540603369,0.521916801,0.491761884,0.503825392,0.480889276,0.478603304
13/11/2014,17652.78906,0.002304643,1,0.504235482,0.521916801,0.491761884,0.503825392,0.480889276,0.478603304,0.504235482
14/11/2014,17634.74023,-0.001022435,1,0.469540347,0.491761884,0.503825392,0.480889276,0.478603304,0.504235482,0.469540347
